Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
546D2E5C-6AFA-C970-1621-B4DD9EE95ED9,"aliquotType",1,,LOGDT024,95,50,,,VARCHAR2,VARCHAR,
D7F933E6-163D-C078-AD9E-9B599DF90BA2,"bson_id",2,,LOGDT024,95,32,,,VARCHAR2,VARCHAR,
1A52AA61-747A-4F59-09FE-84721C9EFB63,"code",3,,LOGDT024,95,50,,,VARCHAR2,VARCHAR,
C62DB8CB-4428-8510-385F-BD74591265C8,"datetime",4,,LOGDT015,90,,,,TIMESTAMP,Timestamp,
95F01105-1762-DCF3-FC81-11A6B560747C,"description",5,,LOGDT037,68,4000,,,NVARCHAR2,NVARCHAR,
06CE9276-1432-E36F-7D40-7F186F958EB7,"directionality",6,,LOGDT042,88,,,,SMALLINT,TINYINT,
F931EC84-1496-C419-6085-0DCB89408B60,"email",7,,LOGDT024,95,400,,,VARCHAR2,VARCHAR,
C2AD6AF0-11F2-C759-59B1-2616842DDEB1,"flag",8,,LOGDT006,43,,,,CHAR,Boolean,
23A0882F-14A5-6392-4B62-CEB16E68AFB1,"hash256",9,,LOGDT024,95,256,,,VARCHAR2,VARCHAR,
FE5C2618-AF2C-825B-D249-D55A1CC33EE1,"inclusive0basedIndex",10,,LOGDT011,60,,,,INTEGER,Integer,
B27C9370-361D-7469-DE53-4C0F95745E52,"index",11,,LOGDT011,60,,,,INTEGER,Integer,
92FA761F-AB3A-E742-962A-5F29330D004F,"IOcategory",12,,LOGDT024,95,50,,,VARCHAR2,VARCHAR,
7C0C45F8-D81B-13C0-2339-CD94540214A5,"json",13,,LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,70,,,,ORDSYS.ORDDoc,ORDDOC,
26F8F122-4202-1BBA-0EFD-5F50D3AA6047,"length",14,,LOGDT019,67,,,,NUMBER,NUMERIC,
F7F81448-349E-C8CE-A6DE-B3DDC4BE2C4B,"materialName",15,,LOGDT024,95,,,,VARCHAR2,VARCHAR,
E69FF4E2-5D26-0DB8-2062-82F5CE68E7FE,"materialProvenance",16,,LOGDT024,95,100,,,VARCHAR2,VARCHAR,
8DB4A5BF-48E5-8E84-7873-03C48C1C0DD1,"materialType",17,,LOGDT024,95,200,,,VARCHAR2,VARCHAR,
0B959B89-87C6-CA35-87B0-2768D0B18B8E,"measurement",18,,LOGDT019,67,,,,NUMBER,NUMERIC,
E22467A2-A793-E4C5-0C65-F663AC065B95,"name",19,,LOGDT037,68,400,,,NVARCHAR2,NVARCHAR,
89CDCC5C-509B-60BE-5E69-EBBF4895911D,"number",20,,LOGDT019,67,,,,NUMBER,NUMERIC,
226ADBAC-7E5D-133A-D68E-D41F1758FB6C,"numeric_id",21,,LOGDT019,67,,,,NUMBER,NUMERIC,
8A9114AF-1F48-2703-82F8-0BA3B2C759D7,"parameterInputPresetType",22,,LOGDT024,95,50,,,VARCHAR2,VARCHAR,
509585F7-D01C-0E02-9705-FECCDEA08226,"personName",23,,LOGDT024,95,,,,VARCHAR2,VARCHAR,
B0421114-F8F4-A63B-5362-C9279C9627BE,"positionBase0",24,,LOGDT011,60,,,,INTEGER,Integer,
65B0564A-BCDB-3EFC-F696-17BCDA033771,"positionBase1",25,,LOGDT011,60,,,,INTEGER,Integer,
2EBB9731-52C0-A90A-707A-078347C19CBF,"positiveMeasurement",26,,LOGDT019,67,,,,NUMBER,NUMERIC,
2A01826F-A472-2E79-BD47-4365F7764F86,"priorityName",27,,LOGDT024,95,250,,,VARCHAR2,VARCHAR,
FEEF1DFD-C745-A5D7-677F-FA3150653981,"sampleType",28,,LOGDT024,95,50,,,VARCHAR2,VARCHAR,
A4A885E1-1D2D-35AE-90B6-6CD383339E65,"string-400",29,,LOGDT037,68,400,,,NVARCHAR2,NVARCHAR,
A6CF40C5-7670-BDF3-200E-B87236484201,"stringMax",30,,LOGDT024,95,4000,,,VARCHAR2,VARCHAR,
6400FC59-141A-77F6-CE21-1723A8D97964,"teselagentype",31,,LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,36,,,,BFILE,BFile,
439014E2-5613-2820-211B-448ED3B1A45C,"text",32,,LOGDT040,85,,,,CLOB,TEXT,
DOM3000004,"Unknown",33,,LOGDT017,34,,,,UNKNOWN,unknown,
