Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT017,34,"unknown",
LOGDT005,35,"Audio",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,36,"BFile",
LOGDT027,37,"BIGINT",
LOGDT033,38,"BINARY",
LOGDT056,39,"BINARY DOUBLE",
LOGDT055,40,"BINARY FLOAT",
LOGDT034,41,"BIT",
LOGDT029,42,"BLOB",
LOGDT006,43,"Boolean",
LOGDT025,44,"CHAR",
LOGDT028,45,"CLOB",
LOGDT030,46,"DATALINK",
LOGDT007,47,"Date",
LOGDT008,48,"Datetime",
91229484-D19C-D458-8647-333C7FFE7B60,49,"DATETIME2",
LOGDT054,50,"DBURIType",
LOGDT026,51,"DECIMAL",
69230305-AB6A-99EB-35A1-CC306D543604,52,"DECFLOAT",
LOGDT020,53,"DOUBLE",
LOGDT021,54,"FLOAT",
LOGDT031,55,"GRAPHIC",
LOGDT052,56,"HTTPURIType",
LOGDT049,57,"INTERVAL DAY TO SECOND",
LOGDT048,58,"INTERVAL YEAR TO MONTH",
LOGDT010,59,"Image",
LOGDT011,60,"Integer",
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,61,"Long Char",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,62,"Long_Raw",
LOGDT043,63,"MONEY",
LOGDT035,64,"NCHAR",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,65,"NClob",
LOGDT036,66,"NTEXT",
LOGDT019,67,"NUMERIC",
LOGDT037,68,"NVARCHAR",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,69,"ORDAUDIO",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,70,"ORDDOC",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,71,"ORDIMAGE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,72,"ORDIMAGE_SIGNATURE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,73,"ORDVIDEO",
LOGDT022,74,"REAL",
LOGDT032,75,"ROWID",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,76,"Raw",
LOGDT038,77,"SMALLDATETIME",
LOGDT018,78,"SMALLINT",
LOGDT044,79,"SMALLMONEY",
LOGDT045,80,"SQL_VARIANT",
LOGDT039,81,"SYSNAME",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,82,"SYS_ANYDATA",
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,83,"SYS_ANYDATASET",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,84,"SYS_ANYTYPE",
LOGDT040,85,"TEXT",
LOGDT047,86,"TIMESTAMP WITH LOCAL TIME ZONE",
LOGDT046,87,"TIMESTAMP WITH TIME ZONE",
LOGDT042,88,"TINYINT",
LOGDT014,89,"Time",
LOGDT015,90,"Timestamp",
LOGDT057,91,"UNIQUEIDENTIFIER",
LOGDT051,92,"URIType",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,93,"URowID",
LOGDT041,94,"VARBINARY",
LOGDT024,95,"VARCHAR",
LOGDT023,96,"VARGRAPHIC",
LOGDT016,97,"Video",
LOGDT053,98,"XDBURIType",
LOGDT050,99,"XMLType",
A3A3C77D-0366-9768-FF89-1C25E56881C8,100,"String",
